id,CustomerId,Surname,CreditScore,Geography,Gender,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Exited
196,15771457,Gannon,635,Spain,Female,37.0,9,0.0,1,1.0,0.0,26389.62,0
214,15758025,T'ang,632,France,Female,32.0,9,0.0,2,1.0,1.0,170819.01,0
217,15595834,Hsia,707,France,Female,31.0,5,0.0,2,0.0,0.0,172601.74,0
218,15598073,T'ang,682,France,Female,41.0,5,0.0,2,0.0,0.0,79577.33,0
219,15703599,Onyekachi,632,France,Male,26.0,10,136924.26,1,1.0,1.0,180598.66,0
221,15696569,Shih,682,France,Male,33.0,9,0.0,2,1.0,1.0,149474.97,0
230,15793328,Zuyeva,706,France,Male,41.0,4,148874.68,1,0.0,1.0,27468.12,0
231,15754861,T'ien,635,Germany,Female,40.0,7,106261.67,2,1.0,1.0,50774.01,0
236,15672955,Macleod,736,France,Male,36.0,6,0.0,2,1.0,1.0,61164.45,0
237,15621072,Y?,724,France,Female,62.0,4,0.0,1,1.0,1.0,179913.54,1
241,15776929,Nebechi,731,Germany,Female,49.0,10,137494.28,1,1.0,0.0,92824.92,1
249,15757827,Hsueh,741,France,Male,38.0,7,0.0,2,0.0,1.0,176750.81,1
265,15791977,Palerma,754,France,Female,28.0,8,0.0,2,1.0,0.0,194930.3,0
270,15643082,Trevisani,639,France,Female,33.0,3,0.0,2,1.0,1.0,168816.33,0
276,15672434,Maclean,730,France,Male,38.0,6,0.0,2,1.0,1.0,178361.04,0
293,15643396,Chukwuemeka,756,Spain,Female,28.0,2,109528.14,1,1.0,0.0,157822.94,1
301,15660269,Ekechukwu,692,Germany,Female,39.0,1,81710.46,2,1.0,1.0,75969.39,0
303,15793824,Nkemakolam,714,France,Male,29.0,1,0.0,2,1.0,1.0,86479.49,0
305,15586800,P'eng,543,France,Male,35.0,7,0.0,2,0.0,1.0,56767.91,0
306,15792985,Tuan,641,Spain,Female,55.0,8,0.0,2,1.0,0.0,91285.88,1
319,15702999,Milne,694,Spain,Female,46.0,7,117070.72,3,1.0,1.0,81753.92,1
323,15627844,Iloerika,592,Germany,Male,41.0,6,140197.01,1,1.0,1.0,116471.26,0
336,15794890,Trevisani,584,France,Male,42.0,8,0.0,2,0.0,0.0,177738.93,0
338,15777610,Chukwudi,703,France,Male,29.0,6,121647.54,1,1.0,1.0,139946.68,0
339,15671958,Onwumelu,592,France,Male,27.0,6,0.0,2,0.0,0.0,95423.88,0
342,15591811,Tung,716,France,Male,52.0,9,0.0,2,1.0,0.0,88866.82,1
350,15762715,Ts'ui,577,France,Female,46.0,1,0.0,3,1.0,0.0,6078.31,1
354,15783625,Lo Duca,694,France,Male,34.0,3,0.0,2,0.0,1.0,112187.04,0
360,15704065,Ting,687,France,Female,26.0,7,0.0,2,1.0,0.0,182591.34,0
363,15682372,Mancini,597,France,Female,25.0,2,0.0,2,1.0,0.0,185855.14,0
373,15591736,Y?,599,Spain,Male,44.0,8,0.0,2,1.0,0.0,177619.44,0
379,15731417,Lucciano,712,Spain,Male,40.0,6,0.0,1,1.0,0.0,86022.43,1
402,15605741,Onwughara,818,Spain,Female,31.0,10,115557.26,1,1.0,1.0,176713.27,0
415,15743085,Ting,850,Spain,Male,33.0,9,0.0,2,1.0,0.0,181177.9,0
417,15640049,DeRose,708,France,Male,40.0,9,0.0,2,1.0,1.0,152295.62,0
422,15671055,Tsao,625,France,Female,55.0,1,0.0,2,1.0,1.0,125762.99,0
430,15762917,Lettiere,726,France,Male,49.0,5,0.0,2,1.0,0.0,111307.98,0
445,15581524,O'Loghlin,773,Spain,Male,24.0,5,0.0,1,1.0,1.0,122487.11,0
467,15813063,Trevisano,580,France,Female,33.0,4,145061.73,1,1.0,0.0,106070.58,0
469,15582763,Hsueh,637,France,Female,38.0,8,0.0,2,1.0,1.0,141501.66,0
506,15631315,Ch'ien,704,France,Male,34.0,4,109472.81,1,1.0,1.0,70532.4,0
510,15753579,Kao,619,Spain,Female,37.0,4,0.0,2,0.0,0.0,163423.8,0
515,15693731,Chiawuotu,718,France,Female,29.0,9,125385.49,1,0.0,0.0,92916.54,1
518,15662456,H?,703,France,Female,38.0,4,0.0,2,0.0,0.0,157517.95,0
534,15696844,Cremonesi,586,Germany,Male,33.0,5,176511.08,1,1.0,0.0,176511.08,0
553,15780139,Smith,646,France,Male,43.0,5,71063.94,1,1.0,0.0,90905.85,0
562,15572394,Okwudiliolisa,679,France,Male,43.0,4,0.0,1,1.0,0.0,134600.53,1
565,15666858,Trevisano,635,France,Male,32.0,6,0.0,2,1.0,1.0,53511.28,0
566,15783617,Iadanza,641,France,Female,32.0,5,0.0,2,0.0,0.0,187734.96,0
574,15752840,Uspensky,602,Spain,Male,42.0,6,0.0,2,1.0,0.0,179655.87,0
577,15762977,Chiu,585,France,Male,48.0,3,0.0,2,1.0,0.0,9902.39,0
579,15674890,Uvarova,735,France,Female,31.0,1,123379.43,1,1.0,1.0,126731.57,0
580,15642545,Nwachinemelu,718,Spain,Female,49.0,1,0.0,1,0.0,0.0,55825.41,1
600,15682463,Uchechukwu,651,France,Female,55.0,4,0.0,1,1.0,0.0,80591.49,1
605,15730956,Onyeorulu,619,France,Female,26.0,9,0.0,1,1.0,1.0,149583.67,0
610,15795524,K?,709,Spain,Female,39.0,9,0.0,2,1.0,0.0,180622.02,0
616,15671409,Hughes,588,France,Male,47.0,6,0.0,1,1.0,1.0,176904.45,1
618,15772786,Milano,565,Spain,Male,32.0,1,0.0,2,0.0,1.0,172665.16,0
632,15673893,Toscani,619,France,Female,32.0,5,0.0,2,1.0,1.0,65375.41,0
658,15777064,K?,714,France,Male,35.0,2,0.0,2,0.0,1.0,74850.97,0
682,15573076,Galkin,726,France,Female,40.0,5,0.0,2,1.0,1.0,50485.7,0
688,15706734,H?,747,Spain,Female,59.0,6,112070.79,3,1.0,0.0,182364.8,0
689,15795964,Ts'ui,747,France,Female,50.0,8,111096.89,1,1.0,1.0,113557.54,0
697,15792631,Kao,652,France,Male,39.0,8,0.0,2,1.0,1.0,66462.23,0
698,15665032,Ts'ai,613,Germany,Male,38.0,9,79871.64,2,0.0,1.0,59354.24,0
700,15591513,Eluemuno,624,Spain,Female,38.0,9,0.0,2,1.0,1.0,109172.88,0
708,15784318,Toscani,596,Germany,Male,32.0,3,122552.51,1,0.0,0.0,102520.76,0
711,15781822,Okonkwo,684,France,Male,21.0,4,0.0,2,1.0,1.0,120151.56,0
719,15769006,Fiorentini,693,Germany,Female,36.0,5,138178.41,2,1.0,0.0,163666.85,0
721,15589375,Y?an,737,Germany,Female,33.0,7,142400.28,3,0.0,1.0,110317.73,1
742,15573073,Iadanza,706,France,Female,35.0,4,0.0,2,0.0,0.0,53311.03,0
757,15711589,Chukwukere,699,Spain,Male,40.0,6,115563.71,3,0.0,0.0,83068.28,1
758,15751554,Uwaezuoke,728,France,Male,33.0,2,0.0,2,1.0,1.0,141798.56,0
759,15694854,P'eng,653,Spain,Male,37.0,0,0.0,2,0.0,1.0,173952.5,0
768,15585300,Chien,636,Germany,Female,47.0,7,118448.15,1,0.0,0.0,53667.08,1
771,15678928,Lucchese,687,France,Male,34.0,8,0.0,2,1.0,0.0,139938.57,0
778,15710104,Hsia,632,France,Male,47.0,1,0.0,2,1.0,0.0,100995.99,0
781,15791070,Walker,703,Spain,Male,35.0,9,0.0,1,1.0,0.0,86410.79,0
788,15624644,Chukwualuka,553,Germany,Female,37.0,1,64740.12,2,1.0,1.0,105784.85,0
795,15723004,K?,696,Germany,Male,40.0,9,88827.53,2,1.0,1.0,148611.52,0
796,15622538,O'Donnell,560,France,Female,48.0,3,0.0,1,1.0,1.0,181549.74,0
797,15757831,Teng,634,France,Female,45.0,5,174852.73,1,1.0,0.0,130142.08,0
800,15729774,Aksenov,712,France,Male,22.0,9,0.0,2,1.0,0.0,164975.01,0
811,15792368,Wright,516,Spain,Female,42.0,3,0.0,2,1.0,1.0,114514.67,0
851,15769964,Ts'ui,707,Spain,Female,29.0,4,0.0,1,1.0,0.0,174911.73,0
855,15691883,Hsu,605,France,Female,25.0,6,0.0,2,1.0,0.0,77519.73,0
858,15656547,Chibugo,630,Germany,Female,29.0,2,81732.46,1,1.0,0.0,134857.54,0
865,15697901,Nwabugwu,686,Germany,Female,45.0,4,78892.08,1,1.0,0.0,162597.9,1
875,15673082,Efremov,595,France,Male,32.0,3,0.0,2,0.0,0.0,62733.32,0
881,15582515,Manna,723,France,Female,61.0,1,127343.28,1,1.0,1.0,142763.83,0
882,15677784,Pagnotto,735,Germany,Female,28.0,6,117300.24,1,1.0,0.0,74850.36,0
885,15691810,Fanucci,729,Spain,Female,29.0,6,0.0,1,1.0,1.0,57594.69,0
890,15802468,Onyekaozulu,729,Germany,Male,49.0,7,76656.4,2,1.0,1.0,185580.89,0
894,15742408,Hs?,679,France,Female,37.0,1,0.0,2,1.0,0.0,159899.97,0
904,15603840,Hsu,729,France,Male,44.0,8,0.0,2,0.0,1.0,148527.78,0
912,15596022,Titheradge,692,France,Male,33.0,4,0.0,2,1.0,0.0,119565.94,0
913,15731534,Ch'in,638,France,Male,34.0,7,0.0,2,1.0,1.0,26170.04,0
926,15691908,Mazzi,756,France,Male,44.0,7,0.0,2,1.0,0.0,168038.09,0
930,15804486,Brown,653,Germany,Male,31.0,7,116822.21,1,1.0,1.0,108891.2,0
937,15592394,Hsia,711,Spain,Female,38.0,5,0.0,2,1.0,1.0,173852.21,0
940,15671410,Onyekachi,588,Germany,Male,39.0,6,130969.77,2,1.0,0.0,187926.14,0
946,15651556,Tseng,538,France,Female,31.0,10,0.0,1,1.0,0.0,161054.65,0
947,15794890,Shih,725,France,Female,37.0,5,0.0,2,1.0,1.0,174825.04,0
961,15759892,Loyau,624,Spain,Male,35.0,1,0.0,2,1.0,1.0,12761.51,0
962,15694532,Macdonald,588,France,Male,39.0,1,0.0,2,1.0,0.0,55725.52,0
968,15595731,Hsing,788,Germany,Male,51.0,5,91091.52,2,1.0,0.0,58883.06,1
974,15801932,Hsiung,582,Germany,Female,27.0,1,117561.06,1,1.0,1.0,126551.25,0
989,15782226,Ts'ao,734,Germany,Female,39.0,5,121763.66,1,1.0,0.0,91036.93,0
990,15615116,Pinto,601,France,Male,26.0,4,0.0,2,1.0,0.0,146585.29,0
996,15707541,Uvarov,561,France,Male,28.0,6,125889.13,1,1.0,0.0,171922.71,0
997,15593595,Frolova,591,France,Male,39.0,8,0.0,2,1.0,1.0,73949.62,0
1003,15682269,Yobanna,645,Spain,Female,39.0,3,0.0,2,1.0,1.0,102565.31,0
1010,15719489,Ting,697,France,Male,41.0,4,0.0,2,1.0,1.0,163983.88,0
1011,15697876,Echezonachukwu,633,Spain,Female,40.0,0,0.0,1,1.0,0.0,121525.19,1
1012,15685869,Watson,575,France,Female,25.0,9,0.0,1,0.0,0.0,12096.17,1
1013,15594936,Tung,706,France,Male,54.0,8,160736.05,2,0.0,1.0,93746.02,1
1014,15686959,Pisano,595,France,Female,43.0,9,0.0,2,0.0,0.0,133020.17,0
1026,15691326,Nnaife,561,France,Female,33.0,3,0.0,1,1.0,0.0,131281.57,0
1036,15746979,Hsia,594,Germany,Female,46.0,5,141806.0,2,1.0,0.0,93844.94,1
1038,15651569,Kambinachi,705,France,Male,39.0,10,104719.51,2,1.0,1.0,70553.92,0
1044,15808521,Mancini,639,Germany,Female,24.0,1,102882.47,1,1.0,1.0,159584.81,1
1064,15692726,Dickson,710,France,Male,29.0,3,0.0,2,0.0,1.0,12761.82,0
1071,15643670,Hsieh,575,France,Female,31.0,6,0.0,2,1.0,1.0,109291.22,0
1072,15743594,O'Donnell,641,France,Male,42.0,6,109346.3,1,1.0,0.0,8982.8,0
1083,15803815,Y?an,733,France,Male,35.0,2,0.0,2,1.0,0.0,59679.02,0
1088,15762929,Pirozzi,691,Germany,Female,50.0,10,108650.74,3,1.0,1.0,52313.94,1
1095,15774836,Fitch,645,Spain,Female,36.0,6,0.0,2,1.0,0.0,49361.59,0
1109,15646095,Onwumelu,648,France,Male,43.0,8,0.0,2,1.0,0.0,103969.63,0
1129,15745306,Ts'ai,637,France,Female,40.0,5,148913.78,1,1.0,0.0,101839.79,0
1134,15702642,Iadanza,623,France,Male,22.0,2,0.0,2,0.0,1.0,131778.02,0
1135,15780034,Teng,682,Germany,Male,61.0,2,146605.27,1,1.0,1.0,165038.58,1
1140,15806963,Chikezie,670,Spain,Male,41.0,8,149961.99,2,0.0,1.0,82868.34,0
1146,15813912,Cribb,850,Germany,Male,41.0,9,178053.5,1,1.0,0.0,136041.43,1
1148,15651490,Smith,608,Germany,Female,34.0,4,96019.33,1,0.0,0.0,116748.06,0
1158,15652885,Toth,535,France,Male,29.0,9,0.0,2,1.0,1.0,52827.51,0
1164,15752991,Yefimova,712,Spain,Male,43.0,3,101802.67,1,0.0,1.0,177844.15,0
1167,15581589,T'ien,729,France,Male,38.0,7,0.0,1,1.0,1.0,163666.85,0
1172,15653858,Olisanugo,651,Spain,Female,48.0,1,0.0,2,1.0,1.0,136909.88,0
1173,15696028,Ch'in,628,France,Female,36.0,2,0.0,2,0.0,1.0,14073.71,0
1206,15807588,Onuchukwu,592,France,Male,30.0,5,115101.5,1,1.0,1.0,56894.08,0
1226,15577512,Aksyonov,549,France,Female,39.0,1,138053.79,1,1.0,0.0,91026.76,0
1232,15727484,Teng,724,France,Male,38.0,1,0.0,2,1.0,0.0,10963.04,0
1235,15803826,Udegbulam,576,France,Male,56.0,2,0.0,2,1.0,1.0,82662.73,0
1248,15744894,McGregor,649,France,Female,40.0,9,0.0,1,1.0,1.0,155047.77,1
1255,15811028,Ch'iu,588,Germany,Female,41.0,6,143966.3,2,1.0,0.0,49713.87,0
1260,15757797,Hsu,693,France,Female,39.0,1,0.0,2,1.0,1.0,159892.84,0
1270,15581550,Kisch,729,Germany,Male,46.0,3,85906.55,1,1.0,0.0,86977.8,0
1294,15673888,Onwumelu,684,Spain,Male,37.0,7,107714.49,2,1.0,1.0,55775.25,0
1297,15742268,Hsing,558,Spain,Female,39.0,6,131647.01,1,0.0,1.0,180598.86,0
1302,15803413,Chiawuotu,641,Germany,Male,37.0,2,109387.9,1,1.0,0.0,49594.19,0
1307,15687955,T'ang,583,Germany,Male,39.0,7,123328.15,1,1.0,0.0,123699.15,0
1322,15695098,Onyemauchechukwu,634,France,Female,38.0,4,0.0,2,0.0,0.0,145537.57,0
1331,15602328,Fanucci,641,Spain,Male,67.0,4,0.0,2,1.0,1.0,94978.1,0
1338,15602541,Monds,569,Spain,Female,27.0,7,0.0,2,1.0,1.0,180942.8,0
1339,15703851,Onyekachi,617,Spain,Male,46.0,4,0.0,1,1.0,0.0,56793.02,0
1355,15756650,K'ung,549,Germany,Male,35.0,7,127561.51,1,0.0,1.0,167969.19,0
1360,15805768,Nnachetam,678,Germany,Female,42.0,9,108286.5,1,0.0,0.0,136909.11,1
1365,15761457,T'ien,722,France,Male,36.0,7,0.0,2,1.0,0.0,153059.04,0
1372,15620379,Mazzanti,527,Spain,Female,28.0,4,0.0,2,1.0,1.0,92855.87,0
1376,15792373,T'ien,752,Germany,Male,31.0,2,132914.7,1,1.0,1.0,52861.91,0
1382,15593764,Hsueh,604,France,Male,33.0,4,0.0,2,1.0,1.0,128882.86,0
1390,15793831,Hs?eh,735,Spain,Female,66.0,2,0.0,2,0.0,1.0,80198.57,0
1396,15726687,Tien,628,Germany,Male,48.0,3,133060.54,1,1.0,0.0,182627.55,1
1417,15751206,Nnanna,756,Spain,Male,28.0,4,0.0,2,1.0,1.0,164746.05,0
1423,15784053,Iheanacho,581,France,Female,37.0,7,0.0,2,0.0,0.0,129964.09,0
1437,15632305,Onyekachukwu,556,Germany,Male,31.0,4,100249.69,2,1.0,0.0,94886.6,0
1441,15802801,Hao,727,France,Male,59.0,9,0.0,1,1.0,0.0,97908.3,1
1445,15682463,Fomin,685,France,Male,31.0,3,0.0,2,1.0,0.0,177738.98,0
1452,15604862,Hao,687,France,Female,34.0,1,0.0,1,1.0,0.0,169286.5,0
1454,15677599,T'ien,535,Spain,Male,51.0,6,131033.76,1,1.0,1.0,177783.05,0
1468,15774839,Chinweuba,596,France,Male,30.0,3,125537.21,1,1.0,1.0,137037.96,0
1469,15671220,Shao,790,France,Male,38.0,5,0.0,2,1.0,0.0,108747.03,0
1478,15593949,Calabrese,644,France,Female,52.0,4,164951.71,2,1.0,1.0,93844.88,0
1481,15752637,Onyemere,717,France,Male,28.0,7,108117.75,1,0.0,1.0,64839.36,0
1482,15589324,Pagnotto,742,France,Female,51.0,3,154962.82,1,1.0,0.0,167722.35,1
1483,15584894,Fomin,684,France,Male,46.0,4,0.0,2,1.0,0.0,73069.65,0
1488,15609570,Uren,670,Germany,Female,34.0,7,84906.67,2,0.0,0.0,65829.48,0
1489,15671783,Dickson,554,France,Female,35.0,9,0.0,1,1.0,1.0,176784.04,0
1492,15691917,Scott,704,Spain,Male,28.0,6,0.0,2,1.0,1.0,142993.29,0
1502,15703639,Ma,683,France,Male,37.0,2,0.0,2,1.0,0.0,172531.01,0
1508,15722579,Rizzo,596,France,Male,34.0,7,0.0,2,1.0,0.0,59747.31,0
1511,15746743,Echezonachukwu,466,Spain,Male,31.0,3,0.0,1,1.0,1.0,157097.09,0
1522,15686959,Milne,584,France,Male,56.0,5,0.0,2,1.0,1.0,122549.96,0
1541,15641442,Trevisani,659,France,Female,26.0,7,0.0,2,1.0,0.0,177622.31,0
1546,15663833,Ojiofor,656,Spain,Female,52.0,5,0.0,2,1.0,1.0,66487.32,0
1565,15586042,H?,719,France,Male,35.0,2,0.0,2,1.0,0.0,152979.03,0
1577,15642538,Zetticci,773,France,Male,34.0,3,124349.57,1,1.0,0.0,180968.24,0
1578,15632307,Uwaezuoke,846,Germany,Female,42.0,10,129118.5,1,1.0,0.0,119747.08,1
1579,15732941,Yudina,596,Spain,Male,34.0,8,0.0,2,1.0,1.0,88971.72,0
1588,15651532,Ch'in,604,Germany,Male,52.0,1,94435.96,1,1.0,0.0,80450.84,1
1590,15682463,Trevisani,706,Germany,Male,46.0,8,133070.11,4,1.0,0.0,79919.99,1
1592,15582351,Folliero,676,France,Female,45.0,7,0.0,1,1.0,0.0,80189.85,1
1593,15739178,Tien,634,France,Female,42.0,6,89013.29,2,0.0,0.0,115724.71,0
1595,15754565,Nucci,711,Spain,Female,37.0,2,0.0,2,1.0,0.0,140139.98,0
1597,15581702,Chukwuemeka,667,Spain,Female,49.0,5,98907.91,2,1.0,1.0,86920.0,0
1598,15691705,Ts'ao,595,France,Male,48.0,2,0.0,1,1.0,1.0,173783.78,0
1608,15794947,Yefimova,493,France,Male,31.0,1,0.0,2,0.0,0.0,35321.86,0
1616,15688858,Walker,738,France,Male,40.0,2,0.0,2,1.0,1.0,102920.14,0
1619,15797709,L?,746,France,Male,32.0,4,0.0,2,1.0,1.0,156791.36,0
1626,15762404,Obialo,589,Spain,Female,33.0,2,0.0,2,1.0,1.0,105783.73,0
1637,15683825,Lucciano,642,Germany,Male,62.0,3,114327.3,1,0.0,1.0,94945.4,1
1644,15793824,O'Callaghan,710,France,Male,34.0,9,160903.2,1,0.0,1.0,165675.01,0
1645,15593550,Martin,681,Germany,Male,46.0,10,105245.21,2,1.0,1.0,49594.02,0
1647,15698879,Hsieh,707,France,Female,31.0,6,156091.97,2,1.0,1.0,145527.35,0
1654,15771816,Nwora,669,France,Male,31.0,9,0.0,2,1.0,1.0,177738.98,0
1660,15762650,Lettiere,562,France,Male,56.0,2,96947.96,1,1.0,0.0,108301.65,1
1661,15621682,Kaeppel,743,France,Male,38.0,10,145739.52,1,1.0,0.0,167035.18,0
1671,15703779,Hsiung,730,Germany,Male,29.0,8,106431.94,1,1.0,1.0,140197.2,0
1676,15672093,Rizzo,667,France,Female,39.0,3,0.0,2,1.0,1.0,176720.49,0
1704,15573928,Kaur,613,France,Male,41.0,5,126645.58,1,0.0,0.0,50771.77,0
1711,15814241,Chukwubuikem,666,Germany,Male,26.0,2,124775.33,2,1.0,1.0,115719.71,0
1717,15596916,Onyemauchechukwu,718,Spain,Female,33.0,6,0.0,2,1.0,1.0,94898.3,0
1718,15796713,Y?,850,France,Female,48.0,7,0.0,1,1.0,1.0,63795.8,1
1719,15627829,Tung,762,Germany,Male,32.0,1,131240.37,2,1.0,0.0,78858.75,0
1732,15583852,Mazzanti,685,France,Male,36.0,9,103097.24,1,1.0,0.0,161229.99,0
1736,15653958,Hargreaves,738,France,Male,27.0,1,0.0,2,1.0,1.0,130131.89,0
1746,15795890,K'ung,725,France,Male,43.0,0,0.0,2,1.0,1.0,179541.15,0
1763,15682473,Fanucci,673,France,Female,36.0,9,0.0,2,1.0,0.0,91096.76,0
1772,15641310,Lai,709,Spain,Male,36.0,10,0.0,1,1.0,0.0,88890.79,0
1775,15803486,Ulyanova,766,Germany,Female,36.0,5,154767.23,2,1.0,1.0,91547.94,0
1781,15783478,Ugochukwu,641,France,Male,28.0,3,0.0,2,1.0,1.0,177655.87,0
1782,15756840,Shih,806,France,Female,56.0,8,0.0,1,1.0,0.0,51454.08,1
1784,15591723,Cattaneo,686,France,Female,32.0,7,0.0,2,1.0,1.0,28137.03,0
1790,15658249,Ch'in,714,France,Female,39.0,4,110864.38,1,1.0,1.0,157891.86,0
1802,15679973,Hs?,697,Spain,Female,37.0,6,0.0,2,0.0,1.0,71094.0,0
1803,15592865,Ugorji,806,Spain,Male,54.0,10,0.0,1,0.0,1.0,106534.88,0
1817,15805638,Hsiung,593,France,Female,31.0,9,0.0,2,1.0,1.0,93881.75,0
1823,15601392,Genovesi,611,Germany,Female,56.0,2,104678.86,1,1.0,0.0,172765.93,1
1825,15574796,D'Albertis,749,Germany,Female,37.0,5,112146.12,1,1.0,0.0,75927.35,1
1827,15798868,Zuyev,644,Germany,Male,42.0,6,135413.43,2,1.0,0.0,176891.76,0
1828,15665872,Pinto,734,France,Female,33.0,2,91091.32,2,0.0,1.0,83470.87,0
1837,15593883,Trevisani,655,France,Female,39.0,7,71264.02,2,1.0,0.0,47921.22,0
1840,15593682,Hsiung,543,France,Male,39.0,2,0.0,2,1.0,1.0,102925.15,0
1845,15672955,Chukwukadibia,741,Spain,Male,38.0,9,116646.76,1,1.0,0.0,158553.1,0
1847,15709991,Maclean,703,France,Male,37.0,3,0.0,2,1.0,0.0,98820.07,0
1857,15620343,Aitken,526,France,Female,57.0,3,0.0,2,1.0,0.0,143104.3,0
1872,15752381,Tretiakov,526,France,Male,38.0,3,0.0,2,1.0,1.0,104889.3,0
1879,15585837,T'ang,675,France,Female,35.0,4,0.0,2,1.0,0.0,96660.4,0
1894,15646584,Chiemezie,663,France,Female,51.0,1,118994.84,1,0.0,0.0,159416.58,0
1901,15704588,Lucchesi,711,Germany,Female,58.0,1,161802.27,1,1.0,0.0,131768.58,1
1903,15726795,Trevisano,569,France,Female,30.0,9,119755.0,2,1.0,0.0,82927.65,0
1906,15651340,Teng,596,France,Male,35.0,7,0.0,2,1.0,1.0,182765.17,0
1926,15667959,Lucchesi,666,Spain,Male,31.0,5,0.0,2,1.0,0.0,150475.13,0
1943,15646835,Okeke,614,France,Female,47.0,1,0.0,2,1.0,1.0,91053.94,0
1944,15804053,Ugochukwu,590,France,Male,28.0,8,0.0,2,1.0,1.0,162516.33,0
1945,15682655,Li Fonti,728,France,Female,59.0,7,0.0,1,0.0,1.0,52301.38,1
1960,15709919,Dickson,633,France,Male,32.0,6,0.0,2,1.0,1.0,126731.71,0
1964,15602073,Ts'ui,615,France,Male,23.0,7,77846.9,1,1.0,1.0,152417.79,0
1966,15605792,Folliero,624,France,Male,41.0,8,0.0,2,1.0,1.0,172450.24,0
1967,15792669,Chien,604,Germany,Male,49.0,7,127761.35,1,1.0,0.0,468.41,1
1974,15791050,Toscani,564,France,Male,32.0,2,0.0,2,1.0,1.0,91094.82,0
2014,15767597,Iweobiegbunam,439,France,Male,38.0,5,99587.43,1,1.0,1.0,172749.4,1
2015,15671522,Efimov,613,France,Male,40.0,5,0.0,1,1.0,0.0,146880.17,0
2027,15652979,Ugochukwu,641,France,Female,31.0,4,0.0,2,1.0,1.0,163598.28,0
2046,15751750,Manna,521,France,Female,40.0,7,0.0,2,1.0,1.0,49865.4,0
2049,15672920,T'ien,751,France,Male,36.0,3,0.0,2,1.0,1.0,160139.55,0
2051,15794579,Onwuatuegwu,695,Spain,Male,21.0,6,0.0,2,0.0,1.0,146821.42,0
2072,15682927,Pinto,662,France,Male,33.0,8,161889.83,1,1.0,1.0,132310.88,0
2075,15721282,Trevisano,562,France,Female,31.0,8,0.0,2,1.0,0.0,102762.83,0
2088,15596936,Curnow,642,France,Female,46.0,6,0.0,1,1.0,0.0,72762.25,1
2092,15791369,Bischof,586,Spain,Male,69.0,9,0.0,1,1.0,1.0,63495.41,0
2096,15793882,Biryukov,584,France,Male,39.0,2,0.0,2,1.0,1.0,91291.62,0
2098,15791928,Teng,581,France,Male,34.0,5,0.0,2,1.0,1.0,119110.5,0
2101,15682462,Maclean,838,Germany,Male,35.0,5,107769.42,1,1.0,0.0,48382.4,1
2115,15706037,Aksenov,624,Spain,Female,40.0,8,0.0,1,1.0,1.0,158610.89,0
2131,15752404,Whitehouse,748,Spain,Male,43.0,4,0.0,2,0.0,1.0,173586.91,1
